rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
209021,Education,2.7,1000,51,8,3,215,0,0,0,0
195546,Education,2.8,10000,51,12,6,346,0,0,0,0
126773,Education,2.8,1000,0,11,6,425,1,0,0,0
58054,Education,2.8,1000,0,17,6,565,0,1,4,1
520,Education,4.4,1000,0,15,6,693,0,1,12,6
94727,Education,1,1000,51,15,3,717,0,0,0,4
94792,Education,2.7,5000,51,16,3,737,0,0,0,4
132034,Education,1.9,1000,0,19,3,998,0,0,0,0
2871,Education,4,5000,0,23,3,1134,0,0,2,13
1717,Education,4.6,1000,50,12,3,1487,1,0,13,0
2702,Education,3.9,10000,50,12,3,1487,1,0,2,0
104191,Education,1,1000,51,24,3,1489,0,0,0,2
833,Education,3.1,5000,92,13,6,1707,2,0,14,0
838,Education,3.2,10000,92,13,6,1707,2,0,2,0
878,Education,2.8,1000,92,13,6,1707,2,0,6,0
158128,Education,2.2,1000,50,13,6,1707,0,0,0,0
159488,Education,2.9,5000,92,13,6,1707,1,0,0,0
167275,Education,2.9,1000,51,17,3,1720,0,4,0,10
301,Education,2,1000,51,28,3,1775,2,1,5,3
3907,Education,4.2,50000,0,30,3,1839,0,1,2,11
4176,Education,4,10000,0,23,3,1850,2,0,7,9
2872,Education,3.5,10000,0,30,3,1933,0,1,4,3
1304,Education,4,1000,0,11,3,2133,0,0,3,0
172050,Education,1.5,1000,0,25,3,2452,0,1,0,6
208475,Education,2.8,5000,51,37,6,2943,0,0,0,0
70505,Education,2.4,1000,0,38,3,2960,0,0,6,14
604,Educational,3.6,5000,0,11,3,2989,0,0,8,11
3641,Education,3.2,5000,0,37,6,3081,0,2,17,2
4440,Education,3.6,5000,0,35,3,3122,0,1,2,5
3772,Education,3.4,1000,0,23,3,3201,0,0,2,9
3922,Education,3.6,10000,51,40,3,3275,0,0,5,2
132149,Education,2.8,5000,51,55,3,3422,0,0,0,5
3698,Education,4.3,1000,51,39,6,3627,0,0,4,2
847,Education,4.5,50000,0,55,3,3682,0,1,4,12
214682,Education,2.2,1000,51,40,3,3849,1,1,0,8
17063,Education,2.9,5000,51,38,6,4069,1,0,5,21
82018,Education,2.4,1000,51,38,6,4069,1,0,0,21
82019,Education,2.9,1000,51,38,6,4069,1,0,0,21
