rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
1608,Personalization,4.3,1000,0,1,3,22,0,0,13,0
2802,Personalization,4.2,1000,0,1,3,22,0,0,3,0
2974,Lifestyle,4.2,10000,0,4,3,83,0,0,13,0
1524,Personalization,4.6,5000,0,2,3,114,0,0,7,0
1454,Personalization,4.4,1000,0,6,3,122,0,0,8,0
3035,Productivity,4.1,10000,0,7,6,132,0,0,4,0
3898,Entertainment,3.9,1000,0,8,6,156,0,0,2,0
2965,Personalization,4.3,50000,0,7,3,178,0,0,11,0
2912,Personalization,4.6,10000,0,6,3,183,0,0,5,0
3744,Entertainment,4,10000,0,8,3,199,0,1,18,0
209,Tools,4.2,10000,0,10,6,215,0,0,9,0
2024,Personalization,4.1,10000,0,9,3,216,0,0,2,1
1614,Tools,4.7,5000,0,9,3,218,0,0,1,1
2976,Personalization,4,100000,0,9,3,218,0,0,12,1
1833,Personalization,3.9,10000,0,10,3,232,0,0,4,0
1850,Personalization,4.4,10000,0,10,3,232,0,0,2,0
4420,Books & Reference,3.3,1000,0,7,3,235,0,0,1,0
1606,Communication,3.9,5000,51,8,3,245,1,0,4,0
1818,Personalization,4.3,100000,0,8,3,276,0,1,32,0
3935,Tools,4.3,10000,0,6,3,284,0,0,18,0
194,Personalization,3.8,10000,0,8,3,291,0,1,20,0
2826,Entertainment,3,5000,51,9,3,297,0,0,4,0
2780,Entertainment,4.5,1000,51,9,3,310,0,0,2,0
2259,Personalization,4.6,5000,0,10,3,343,0,0,40,1
3837,Personalization,3.4,1000,0,10,3,347,0,0,4,0
3668,Books & Reference,4.9,1000,51,11,3,365,0,0,7,0
993,Social,3.4,50000,51,12,3,379,0,0,1,0
2972,Tools,4.5,50000,0,4,3,395,0,0,10,2
4214,Weather,4.2,1000,0,9,3,397,0,0,3,0
4322,Weather,4.6,5000,0,9,3,397,0,0,2,0
4325,Weather,4.4,10000,0,9,3,397,0,0,4,0
4327,Weather,4.6,5000,0,9,3,397,0,0,5,0
4321,Weather,4,10000,0,9,3,399,0,0,6,0
2971,Communication,4.2,10000,0,8,3,431,0,0,3,0
2890,Tools,4.4,5000,0,14,6,436,1,0,4,0
1462,Communication,3.6,5000,50,13,3,443,5,0,4,2
4391,Media & Video,4.2,10000,50,8,9,474,16,0,2,3
3593,Business,4.7,1000,51,12,6,480,0,0,2,0
2448,Entertainment,3.4,1000,51,10,3,505,0,1,4,0
1597,Health & Fitness,3.3,10000,0,11,3,507,0,0,12,1
3768,News & Magazines,4.5,1000,51,15,6,514,1,0,9,1
4126,Entertainment,4.6,10000,0,11,6,519,0,0,13,2
4174,Entertainment,4.2,5000,0,11,6,519,0,0,18,2
4161,Entertainment,4.4,5000,0,11,6,523,0,0,2,2
910,Music & Audio,3.4,500000,0,15,3,542,0,0,5,4
376,Weather,4.3,1000000,0,12,3,557,0,1,8,1
1690,Books & Reference,5,1000,0,8,3,558,0,1,4,1
1844,Entertainment,3.7,10000,0,14,3,563,0,0,5,1
2827,Productivity,4.8,1000,0,14,3,571,0,0,4,1
1527,Casual,4.3,1000,0,13,3,576,0,0,3,1
122,Weather,4,100000,0,13,3,582,0,1,7,1
145,Weather,4.1,100000,0,13,3,582,0,1,6,1
273,Weather,4.2,100000,0,13,3,582,0,1,27,1
4310,Personalization,3.8,1000,0,12,6,632,0,0,1,3
1305,Entertainment,3.4,1000,51,22,3,659,0,0,5,1
3767,Communication,4.2,1000,50,13,6,671,2,0,4,2
520,Education,4.4,1000,0,15,6,693,0,1,12,6
2951,Puzzle,4.3,10000,0,15,3,700,0,0,3,3
1713,Travel & Local,3.1,1000,51,13,3,730,0,0,13,1
602,Shopping,4.3,1000,0,16,6,761,0,0,14,1
